I.D,x-coord,y-coord,Attraction points_Proximity,Attraction points_Availability,Performing art_Proximity,Performing art_Availability,Cinemas_Proximity,Cinemas_Availability,Cafes_Proximity,Cafes_Availability,Restaurants_Proximity,Restaurants_Availability,Time_0,Time_1,Time_2,Time_3,Time_4,Time_5
1944,8882.395,8658.79,0.586207,0.666667,0.641304,0.8,0.703704,1,0.854545,0.054979,0.727273,0.016704,0.928571,0.928571,0.936975,0.979323,0.986111,0.931122
1945,8982.32,8662.07,0.586207,0.666667,0.641304,0.833333,0.703704,1,0.854545,0.058091,0.681818,0.016704,0.928571,0.928571,0.936975,0.979323,0.986111,0.931122
1946,9082.24,8665.35,0.597701,0.688889,0.663043,0.866667,0.712963,1,0.872727,0.076763,0.727273,0.017261,0.928571,0.928571,0.936975,0.979323,0.986111,0.931122
1947,9182.165,8668.63,0.62069,0.777778,0.673913,0.866667,0.731481,1,0.909091,0.105809,0.772727,0.041759,0.928571,0.928571,0.936975,0.979323,0.986111,0.931122
1948,9282.09,8671.91,0.62069,0.777778,0.684783,0.866667,0.740741,1,0.927273,0.136929,0.818182,0.070156,0.928571,0.928571,0.936975,0.979323,0.986111,0.931122
1949,9581.86,8681.75,0.609195,0.777778,0.673913,0.866667,0.731481,1,0.890909,0.093361,0.727273,0.016704,0.983871,0.983871,0.985769,0.995331,0.996864,0.984447
1950,9681.79,8685.03,0.655172,0.788889,0.717391,0.866667,0.768519,1,0.945455,0.190871,0.863636,0.099109,0.983871,0.983871,0.985769,0.995331,0.996864,0.984447
1951,9781.71,8688.31,0.655172,0.833333,0.728261,0.933333,0.777778,1,0.963636,0.193983,0.909091,0.101336,0.983871,0.983871,0.985769,0.995331,0.996864,0.984447
1952,10081.485,8698.15,0.689655,0.888889,0.76087,0.933333,0.796296,0.75,0.909091,0.041494,0.954545,0.077951,0.999556,0.999094,0.956522,0.956522,0.956522,0.976708
1953,10281.335,8704.71,0.701149,1,0.76087,0.933333,0.805556,0.75,0.909091,0.051867,0.954545,0.077951,0.999556,0.999094,0.956522,0.956522,0.956522,0.976708
1954,10481.185,8711.265,0.678161,0.888889,0.75,0.866667,0.796296,0.75,0.890909,0.022822,0.863636,0.066258,0.857143,0.857143,0.87395,0.958647,0.972222,0.862245
1955,10681.03,8717.825,0.701149,1,0.782609,0.866667,0.814815,0.75,1,0.020747,1,0.089087,1,1,1,1,1,1
1956,11980.055,8760.465,0.609195,0.888889,0.98913,0.933333,0.990741,0.875,0.945455,0.010373,1,0.077951,1,0.989583,0.617647,0.5,0.5,0
1957,12079.98,8763.745,0.609195,0.888889,0.98913,0.933333,0.990741,0.875,0.945455,0.010373,1,0.077951,1,1,1,1,1,1
1958,12779.46,8786.7,0.597701,0.888889,0.923913,1,0.907407,0.875,0.981818,0.280083,1,0.14588,1,1,1,1,1,1
1959,12879.385,8789.98,0.574713,0.888889,0.902174,1,0.888889,0.875,0.945455,0.205394,0.909091,0.10245,0.970588,0.970588,0.974048,0.991486,0.994281,0.971639
1960,12979.31,8793.26,0.551724,0.888889,0.891304,1,0.87963,0.875,0.927273,0.207469,0.909091,0.091871,0.970588,0.970588,0.974048,0.991486,0.994281,0.971639
1961,13079.235,8796.54,0.563218,0.888889,0.902174,1,0.87963,0.875,0.890909,0.173237,0.954545,0.112472,0.970588,0.970588,0.974048,0.991486,0.994281,0.971639
1962,13179.16,8799.82,0.551724,0.888889,0.880435,1,0.87037,0.875,0.909091,0.228216,0.954545,0.094655,1,1,1,1,1,1
1963,13279.085,8803.1,0.54023,0.888889,0.880435,1,0.861111,0.875,0.890909,0.290456,0.909091,0.083519,0.972973,0.972973,0.976153,0.992176,0.994745,0.973938
1964,13379.01,8806.38,0.517241,0.888889,0.858696,1,0.842593,0.875,0.890909,0.182573,0.909091,0.064588,1,1,1,1,1,1
1965,13478.935,8809.66,0.505747,0.888889,0.836957,1,0.842593,0.875,0.890909,0.192946,0.863636,0.061804,0.972973,0.972973,0.976153,0.992176,0.994745,0.973938
1966,13578.86,8812.94,0.482759,0.888889,0.826087,0.98,0.851852,0.875,0.890909,0.221992,0.818182,0.051782,0.972973,0.972973,0.976153,0.992176,0.994745,0.973938
1967,13678.79,8816.22,0.448276,0.888889,0.782609,0.933333,0.87963,0.875,0.981818,0.062241,0.727273,0.028396,1,1,1,1,1,1
1968,13778.715,8819.5,0.448276,0.888889,0.782609,0.933333,0.87963,0.875,0.963636,0.062241,0.727273,0.022272,0.97561,0.97561,0.978479,0.99294,0.995257,0.976481
1969,13878.64,8822.775,0.448276,0.888889,0.76087,0.933333,0.87963,0.875,0.945455,0.051867,0.681818,0.012806,0.97561,0.97561,0.978479,0.99294,0.995257,0.976481
1970,19374.605,9003.16,0.149425,0.222222,0.5,0.1,0.287037,0,0.709091,0,0.227273,0,1,1,1,1,1,1
1971,6287.66,8473.59,0.448276,0.333333,0.76087,0.266667,0.768519,0.25,0.927273,0.062241,0.772727,0.016704,0.857143,0.857143,0.87395,0.958647,0.972222,0.862245
1972,6487.505,8480.15,0.425287,0.333333,0.771739,0.266667,0.777778,0.25,0.909091,0.062241,0.772727,0.016704,0.857143,0.857143,0.87395,0.958647,0.972222,0.862245
1973,6587.43,8483.43,0.413793,0.333333,0.771739,0.266667,0.777778,0.25,0.890909,0.062241,0.818182,0.016704,0.857143,0.857143,0.87395,0.958647,0.972222,0.862245
1974,6687.35,8486.71,0.402299,0.333333,0.76087,0.2,0.768519,0.25,0.872727,0.051867,0.818182,0.016704,0.857143,0.857143,0.87395,0.958647,0.972222,0.862245
1975,8985.6,8562.145,0.586207,0.655556,0.652174,0.86,0.712963,1,0.872727,0.070539,0.681818,0.016704,1,1,1,1,1,1
1976,9185.445,8568.705,0.609195,0.777778,0.673913,0.866667,0.722222,1,0.890909,0.087137,0.772727,0.020601,0.928571,0.928571,0.936975,0.979323,0.986111,0.931122
1977,9285.37,8571.985,0.62069,0.777778,0.684783,0.866667,0.740741,1,0.909091,0.116183,0.818182,0.062918,0.928571,0.928571,0.936975,0.979323,0.986111,0.931122
1978,10184.69,8601.505,0.678161,0.888889,0.75,0.933333,0.796296,0.75,0.909091,0.041494,0.909091,0.077951,0.999556,0.999094,0.956522,0.956522,0.956522,0.976708
1979,10284.615,8604.78,0.689655,0.888889,0.76087,0.866667,0.796296,0.75,0.909091,0.041494,0.954545,0.072383,0.999556,0.999094,0.956522,0.956522,0.956522,0.976708
1980,10484.465,8611.34,0.678161,0.888889,0.75,0.866667,0.787037,0.75,0.872727,0.016598,0.909091,0.066815,0.857143,0.857143,0.87395,0.958647,0.972222,0.862245
1981,10584.39,8614.62,0.655172,0.888889,0.728261,0.866667,0.768519,0.75,0.854545,0.010373,0.772727,0.038976,1,1,1,1,1,1
1982,12782.74,8686.775,0.574713,0.888889,0.913043,1,0.888889,0.875,0.963636,0.30083,0.954545,0.168708,0,0,0,0,0,0
1983,12882.665,8690.055,0.551724,0.888889,0.891304,1,0.87037,0.875,0.963636,0.260373,0.909091,0.089644,0.970588,0.970588,0.974048,0.991486,0.994281,0.971639
